Sample,Total Sequences,Sequences flagged as poor quality,Sequence length,GC content,Basic Statistics,Per base sequence quality,Per tile sequence quality,Per sequence quality scores,Per base sequence content,Per sequence GC content,Per base N content,Sequence Length Distribution,Sequence Duplication Levels,Overrepresented sequences,Adapter Content
NS-3809_10_P4_combined_R1,397220953,0,43,35,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,WARN,PASS,PASS
NS-3809_10_P4_combined_R2,397220953,0,90,48,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,PASS,FAIL,WARN,PASS
NS-3809_11_P5_combined_R1,325711880,0,43,38,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,WARN,PASS,PASS
NS-3809_11_P5_combined_R2,325711880,0,90,54,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,FAIL,PASS
NS-3809_12_P5_combined_R1,469585955,0,43,35,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,WARN,PASS,PASS
NS-3809_12_P5_combined_R2,469585955,0,90,45,PASS,PASS,PASS,PASS,WARN,FAIL,PASS,PASS,FAIL,WARN,PASS
NS-3809_13_P6_combined_R1,444302374,0,43,36,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS
NS-3809_13_P6_combined_R2,444302374,0,90,51,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,PASS,FAIL,WARN,PASS
NS-3809_14_P6_combined_R1,552959275,0,43,35,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS
NS-3809_14_P6_combined_R2,552959275,0,90,47,PASS,PASS,PASS,PASS,WARN,WARN,PASS,PASS,FAIL,WARN,PASS
NS-3809_15_P6_combined_R1,498128689,0,43,35,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS
NS-3809_15_P6_combined_R2,498128689,0,90,47,PASS,PASS,PASS,PASS,WARN,WARN,PASS,PASS,FAIL,WARN,PASS
NS-3809_16_P5_combined_R1,473432702,0,43,36,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,WARN,PASS,PASS
NS-3809_16_P5_combined_R2,473432702,0,90,49,PASS,PASS,PASS,PASS,WARN,WARN,PASS,PASS,FAIL,WARN,PASS
NS-3809_1_P2_combined_R1,443549958,0,43,37,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS
NS-3809_1_P2_combined_R2,443549958,0,90,55,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,FAIL,PASS
NS-3809_2_P2_combined_R1,390061409,0,43,37,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,WARN,PASS,PASS
NS-3809_2_P2_combined_R2,390061409,0,90,55,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,FAIL,PASS
NS-3809_3_P1_combined_R1,516104364,0,43,34,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,PASS,PASS,PASS,PASS
NS-3809_3_P1_combined_R2,516104364,0,90,46,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,WARN,PASS
NS-3809_4_P1_combined_R1,367217946,0,43,37,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS
NS-3809_4_P1_combined_R2,367217946,0,90,54,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,FAIL,PASS
NS-3809_5_P1_combined_R1,610753585,0,43,36,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,WARN,PASS,PASS
NS-3809_5_P1_combined_R2,610753585,0,90,52,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,FAIL,PASS
NS-3809_6_P2_combined_R1,482984525,0,43,37,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,WARN,PASS,PASS
NS-3809_6_P2_combined_R2,482984525,0,90,55,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,FAIL,PASS
NS-3809_7_P3_combined_R1,485070933,0,43,37,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS
NS-3809_7_P3_combined_R2,485070933,0,90,54,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,FAIL,PASS
NS-3809_8_P4_combined_R1,429563261,0,43,35,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,WARN,PASS,PASS
NS-3809_8_P4_combined_R2,429563261,0,90,48,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,WARN,PASS
NS-3809_9_P4_combined_R1,374866856,0,43,35,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,WARN,PASS,PASS
NS-3809_9_P4_combined_R2,374866856,0,90,51,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,PASS,FAIL,FAIL,PASS
